taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Cladorhynchus leucocephalus,sdm,,,V,Cladorhynchus leucocephalus,VU,Cladorhynchus leucocephalus
Climacteris affinis,sdm,,,R,Climacteris affinis,,
Codonocarpus pyramidalis,ibra,VU,Codonocarpus pyramidalis,E,Codonocarpus pyramidalis,VU,Codonocarpus pyramidalis
Commersonia craurophylla,ibra,,,V,Commersonia craurophylla,CR,Commersonia craurophylla
Commicarpus australis,sdm,,,,,RA,Commicarpus australis
Corcorax melanorhamphos,sdm,,,R,Corcorax melanorhamphos,,
Correa reflexa,ibra,,,,,RA,Correa reflexa var. reflexa
Coturnix ypsilophora,sdm,,,V,Coturnix ypsilophora australis,RA,Coturnix ypsilophora australis
Craspedia haplorrhiza,sdm,,,,,RA,Craspedia haplorrhiza
Crassula exserta,ibra,,,R,Crassula exserta,,
Crassula peduncularis,sdm,,,R,Crassula peduncularis,RA,Crassula peduncularis
Crassula sieberiana,sdm,,,E,Crassula sieberiana,VU,Crassula sieberiana
Craterocephalus stercusmuscarum,sdm,,,,,CR,Craterocephalus stercusmuscarum
Crinia flindersensis,sdm,,,,,RA,Crinia flindersensis
Cryptandra setifera,sdm,,,,,,
Cupedora lorioliana,ibra,,,,,,
Cupedora nottensis,ibra,,,,,,
Cupedora rufofasciata,sdm,,,,,,
Cuscuta tasmanica,sdm,,,V,Cuscuta tasmanica,VU,Cuscuta tasmanica
Cyperus bifax,sdm,,,R,Cyperus bifax,RA,Cyperus bifax
Cyperus lhotskyanus,ibra,,,R,Cyperus lhotskyanus,VU,Cyperus lhotskyanus
Cyphanthera albicans,ibra,,,,,,
Damasonium minus,sdm,,,,,RA,Damasonium minus
Daphoenositta chrysoptera,sdm,,,,,RA,Daphoenositta chrysoptera
Daviesia devito,ibra,,,R,Daviesia benthamii ssp. humilis,,
Dodonaea intricata,sdm,,,,,,
Dodonaea viscosa,sdm,,,,,RA,Dodonaea viscosa ssp. cuneata
Echiopsis curta,ibra,,,R,Echiopsis curta,RA,Echiopsis curta
Egretta garzetta,sdm,,,R,Egretta garzetta nigripes,RA,Egretta garzetta nigripes
Elachanthus glaber,ibra,,,R,Elachanthus glaber,VU,Elachanthus glaber
Elatine gratioloides,sdm,,,R,Elatine gratioloides,RA,Elatine gratioloides
Embadium johnstonii,ibra,,,R,Embadium johnstonii,RA,Embadium johnstonii
Embadium stagnense,ibra,,,R,Embadium stagnense,RA,Embadium stagnense
