taxa,model_used,epbc_status,epbc_listed_name,npw_status,npw_listed_name,future_status,future_listed_name
Falco peregrinus,sdm,,,R,Falco peregrinus macropus,RA,Falco peregrinus macropus
Falco subniger,sdm,,,R,Falco subniger,RA,Falco subniger
Falcunculus frontatus,sdm,,,R,Falcunculus frontatus frontatus,VU,Falcunculus frontatus frontatus
Frankenia cupularis,ibra,,,R,Frankenia cupularis,,
Frankenia plicata,epbc,EN,Frankenia plicata,V,Frankenia plicata,,
Galium bulliformis,ibra,,,,,RA,Galium bulliformis
Gallinago hardwickii,sdm,VU,Gallinago hardwickii,R,Gallinago hardwickii,RA,Gallinago hardwickii
Geijera parviflora,ibra,,,R,Geijera parviflora,RA,Geijera parviflora
Gerygone fusca,sdm,,,R,Gerygone fusca,,
Glossostigma cleistanthum,ibra,,,,,RA,Glossostigma cleistanthum
Glossostigma drummondii,sdm,,,,,RA,Glossostigma drummondii
Glycyrrhiza acanthocarpa,sdm,,,,,RA,Glycyrrhiza acanthocarpa
Glyptorhagada silveri,ibra,,,,,,
Gnephosis drummondii,sdm,,,,,RA,Gnephosis drummondii
Haeckeria punctulata,sdm,,,,,RA,Haeckeria punctulata
Hakea tephrosperma,sdm,,,R,Hakea tephrosperma,RA,Hakea tephrosperma
Hamirostra melanosternon,sdm,,,R,Hamirostra melanosternon,RA,Hamirostra melanosternon
Hieraaetus morphnoides,sdm,,,V,Hieraaetus morphnoides,VU,Hieraaetus morphnoides
Hypseloecus lysiani,ibra,,,,,,
Indigofera australis,sdm,,,,,RA,Indigofera australis ssp. australis
Indigofera longibractea,ibra,,,,,RA,Indigofera longibractea
Lecanora muralis,ibra,,,,,,
Leipoa ocellata,epbc,VU,Leipoa ocellata,V,Leipoa ocellata,VU,Leipoa ocellata
Lepidium pseudotasmanicum,ibra,,,V,Lepidium pseudotasmanicum,VU,Lepidium pseudotasmanicum
Limnodynastes fletcheri,sdm,,,,,RA,Limnodynastes fletcheri
Lophochroa leadbeateri,sdm,EN,Lophochroa leadbeateri leadbeateri,R,Lophochroa leadbeateri,VU,Lophochroa leadbeateri leadbeateri
Lophoictinia isura,sdm,,,E,Lophoictinia isura,CR,Lophoictinia isura
Lucasium steindachneri,sdm,,,R,Lucasium steindachneri,RA,Lucasium steindachneri
Lycopodium deuterodensum,sdm,,,E,Lycopodium deuterodensum,CR,Lycopodium deuterodensum
Lythrum paradoxum,sdm,,,,,RA,Lythrum paradoxum
Maccullochella peelii,sdm,VU,Maccullochella peelii,,,VU,Maccullochella peelii
Maireana excavata,sdm,,,V,Maireana excavata,VU,Maireana excavata
Malacocera gracilis,sdm,,,V,Malacocera gracilis,RA,Malacocera gracilis
Malva preissiana,sdm,,,,,RA,Malva preissiana
Manorina melanotis,epbc,EN,Manorina melanotis,E,Manorina flavigula melanotis,EN,Manorina flavigula melanotis
Melaleuca squarrosa,ibra,,,R,Melaleuca squarrosa,RA,Melaleuca squarrosa
Melanodryas cucullata,ibra,EN,Melanodryas cucullata cucullata,R,Melanodryas cucullata cucullata,VU,Melanodryas cucullata cucullata
Menkea lutea,ibra,,,R,Menkea lutea,VU,Menkea lutea
Microtis eremaea,ibra,,,E,Microtis eremaea,EN,Microtis eremaea
Morelia spilota,sdm,,,R,Morelia spilota,RA,Morelia spilota
Myiagra inquieta,sdm,,,R,Myiagra inquieta,RA,Myiagra inquieta
Myotis macropus,sdm,,,E,Myotis macropus,RA,Myotis macropus
Myriocephalus rhizocephalus,sdm,,,,,RA,Myriocephalus rhizocephalus
Myriophyllum crispatum,sdm,,,V,Myriophyllum crispatum,VU,Myriophyllum crispatum
